Source,CH1
Second,Volt
-1.225000E-06,+6.330400E+00
-1.224000E-06,+5.712800E+00
-1.223000E-06,+5.095200E+00
-1.222000E-06,+4.477600E+00
-1.221000E-06,+3.705600E+00
-1.220000E-06,+3.088000E+00
-1.219000E-06,+2.316000E+00
-1.218000E-06,+1.698400E+00
-1.217000E-06,+1.080800E+00
-1.216000E-06,+3.088000E-01
-1.215000E-06,-3.088000E-01
-1.214000E-06,-9.263999E-01
-1.213000E-06,-1.698400E+00
-1.212000E-06,-2.316000E+00
-1.211000E-06,-2.933600E+00
-1.210000E-06,-3.551200E+00
-1.209000E-06,-4.168800E+00
-1.208000E-06,-4.786400E+00
-1.207000E-06,-5.249600E+00
-1.206000E-06,-5.867200E+00
-1.205000E-06,-6.330400E+00
-1.204000E-06,-6.793600E+00
-1.203000E-06,-7.256800E+00
-1.202000E-06,-7.720000E+00
-1.201000E-06,-8.183201E+00
-1.200000E-06,-8.492001E+00
-1.199000E-06,-8.955200E+00
-1.198000E-06,-9.264000E+00
-1.197000E-06,-9.727201E+00
-1.196000E-06,-1.003600E+01
-1.195000E-06,-1.034480E+01
-1.194000E-06,-1.065360E+01
-1.193000E-06,-1.065360E+01
-1.192000E-06,-1.111680E+01
-1.191000E-06,-1.142560E+01
-1.190000E-06,-1.158000E+01
-1.189000E-06,-1.204320E+01
-1.188000E-06,-1.219760E+01
-1.187000E-06,-1.235200E+01
-1.186000E-06,-1.250640E+01
-1.185000E-06,-1.266080E+01
-1.184000E-06,-1.281520E+01
-1.183000E-06,-1.312400E+01
-1.182000E-06,-1.312400E+01
-1.181000E-06,-1.343280E+01
-1.180000E-06,-1.327840E+01
-1.179000E-06,-1.343280E+01
-1.178000E-06,-1.358720E+01
-1.177000E-06,-1.358720E+01
-1.176000E-06,-1.358720E+01
-1.175000E-06,-1.358720E+01
-1.174000E-06,-1.358720E+01
-1.173000E-06,-1.358720E+01
-1.172000E-06,-1.343280E+01
-1.171000E-06,-1.312400E+01
-1.170000E-06,-1.327840E+01
-1.169000E-06,-1.296960E+01
-1.168000E-06,-1.296960E+01
-1.167000E-06,-1.250640E+01
-1.166000E-06,-1.235200E+01
-1.165000E-06,-1.219760E+01
