Source,CH1
Second,Volt
-3.500000E-07,-1.513600E+01
-3.490000E-07,-1.689600E+01
-3.480000E-07,-1.724800E+01
-3.470000E-07,-1.865600E+01
-3.460000E-07,-1.900800E+01
-3.450000E-07,-2.006400E+01
-3.440000E-07,-2.006400E+01
-3.430000E-07,-2.076800E+01
-3.420000E-07,-2.112000E+01
-3.410000E-07,-2.147200E+01
-3.400000E-07,-2.252800E+01
-3.390000E-07,-2.288000E+01
-3.380000E-07,-2.323200E+01
-3.370000E-07,-2.393600E+01
-3.360000E-07,-2.499200E+01
-3.350000E-07,-2.569600E+01
-3.340000E-07,-2.569600E+01
-3.330000E-07,-2.710400E+01
-3.320000E-07,-2.780800E+01
-3.310000E-07,-2.816000E+01
-3.300000E-07,-2.886400E+01
-3.290000E-07,-2.921600E+01
-3.280000E-07,-2.921600E+01
-3.270000E-07,-2.956800E+01
-3.260000E-07,-3.027200E+01
-3.250000E-07,-3.097600E+01
-3.240000E-07,-3.097600E+01
-3.230000E-07,-3.168000E+01
-3.220000E-07,-3.168000E+01
-3.210000E-07,-3.168000E+01
-3.200000E-07,-3.238400E+01
-3.190000E-07,-3.238400E+01
-3.180000E-07,-3.273600E+01
-3.170000E-07,-3.344000E+01
-3.160000E-07,-3.344000E+01
-3.150000E-07,-3.308800E+01
-3.140000E-07,-3.379200E+01
-3.130000E-07,-3.379200E+01
-3.120000E-07,-3.379200E+01
-3.110000E-07,-3.379200E+01
-3.100000E-07,-3.344000E+01
-3.090000E-07,-3.344000E+01
-3.080000E-07,-3.308800E+01
-3.070000E-07,-3.308800E+01
-3.060000E-07,-3.273600E+01
-3.050000E-07,-3.238400E+01
-3.040000E-07,-3.238400E+01
-3.030000E-07,-3.203200E+01
-3.020000E-07,-3.062400E+01
-3.010000E-07,-3.027200E+01
-3.000000E-07,-2.921600E+01
-2.990000E-07,-2.780800E+01
-2.980000E-07,-2.640000E+01
-2.970000E-07,-2.499200E+01
-2.960000E-07,-2.252800E+01
-2.950000E-07,-2.076800E+01
-2.940000E-07,-1.830400E+01
-2.930000E-07,-1.584000E+01
-2.920000E-07,-1.372800E+01
-2.910000E-07,-1.126400E+01
-2.900000E-07,-8.800000E+00
-2.890000E-07,-5.984000E+00
-2.880000E-07,-3.872000E+00
-2.870000E-07,-1.408000E+00
-2.860000E-07,+1.056000E+00
-2.850000E-07,+3.520000E+00
-2.840000E-07,+5.984000E+00
-2.830000E-07,+7.744000E+00
-2.820000E-07,+1.020800E+01
-2.810000E-07,+1.196800E+01
-2.800000E-07,+1.372800E+01
-2.790000E-07,+1.548800E+01
-2.780000E-07,+1.654400E+01
-2.770000E-07,+1.760000E+01
-2.760000E-07,+1.900800E+01
-2.750000E-07,+2.006400E+01
-2.740000E-07,+2.041600E+01
-2.730000E-07,+2.112000E+01
-2.720000E-07,+2.182400E+01
-2.710000E-07,+2.217600E+01
-2.700000E-07,+2.288000E+01
-2.690000E-07,+2.288000E+01
-2.680000E-07,+2.358400E+01
-2.670000E-07,+2.428800E+01
-2.660000E-07,+2.499200E+01
-2.650000E-07,+2.499200E+01
-2.640000E-07,+2.569600E+01
-2.630000E-07,+2.675200E+01
-2.620000E-07,+2.745600E+01
-2.610000E-07,+2.816000E+01
-2.600000E-07,+2.851200E+01
-2.590000E-07,+2.921600E+01
-2.580000E-07,+2.956800E+01
-2.570000E-07,+2.992000E+01
-2.560000E-07,+2.992000E+01
-2.550000E-07,+3.027200E+01
-2.540000E-07,+3.097600E+01
-2.530000E-07,+3.132800E+01
-2.520000E-07,+3.132800E+01
-2.510000E-07,+3.203200E+01
-2.500000E-07,+3.203200E+01
-2.490000E-07,+3.238400E+01
-2.480000E-07,+3.273600E+01
-2.470000E-07,+3.273600E+01
-2.460000E-07,+3.273600E+01
-2.450000E-07,+3.273600E+01
-2.440000E-07,+3.344000E+01
-2.430000E-07,+3.308800E+01
-2.420000E-07,+3.344000E+01
-2.410000E-07,+3.344000E+01
-2.400000E-07,+3.344000E+01
-2.390000E-07,+3.308800E+01
-2.380000E-07,+3.308800E+01
-2.370000E-07,+3.308800E+01
-2.360000E-07,+3.273600E+01
-2.350000E-07,+3.273600E+01
-2.340000E-07,+3.238400E+01
-2.330000E-07,+3.132800E+01
-2.320000E-07,+3.097600E+01
-2.310000E-07,+3.062400E+01
-2.300000E-07,+2.956800E+01
-2.290000E-07,+2.851200E+01
-2.280000E-07,+2.710400E+01
-2.270000E-07,+2.534400E+01
-2.260000E-07,+2.323200E+01
-2.250000E-07,+2.147200E+01
-2.240000E-07,+1.936000E+01
-2.230000E-07,+1.724800E+01
-2.220000E-07,+1.513600E+01
-2.210000E-07,+1.267200E+01
-2.200000E-07,+1.020800E+01
-2.190000E-07,+8.096000E+00
-2.180000E-07,+5.632000E+00
-2.170000E-07,+3.168000E+00
-2.160000E-07,+1.056000E+00
-2.150000E-07,-1.408000E+00
