Source,CH1
Second,Volt
-3.500000E-06,+9.999999E-01
-3.499000E-06,-2.600000E+00
-3.498000E-06,-6.199999E+00
-3.497000E-06,-9.799999E+00
-3.496000E-06,-1.380000E+01
-3.495000E-06,-1.780000E+01
-3.494000E-06,-2.140000E+01
-3.493000E-06,-2.540000E+01
-3.492000E-06,-2.780000E+01
-3.491000E-06,-2.980000E+01
-3.490000E-06,-3.100000E+01
-3.489000E-06,-3.140000E+01
-3.488000E-06,-3.100000E+01
-3.487000E-06,-3.060000E+01
-3.486000E-06,-2.940000E+01
-3.485000E-06,-2.820000E+01
-3.484000E-06,-2.700000E+01
-3.483000E-06,-2.540000E+01
-3.482000E-06,-2.420000E+01
-3.481000E-06,-2.380000E+01
-3.480000E-06,-2.340000E+01
-3.479000E-06,-2.300000E+01
-3.478000E-06,-2.340000E+01
-3.477000E-06,-2.380000E+01
-3.476000E-06,-2.460000E+01
-3.475000E-06,-2.500000E+01
-3.474000E-06,-2.580000E+01
-3.473000E-06,-2.620000E+01
-3.472000E-06,-2.660000E+01
-3.471000E-06,-2.700000E+01
-3.470000E-06,-2.700000E+01
-3.469000E-06,-2.700000E+01
-3.468000E-06,-2.660000E+01
-3.467000E-06,-2.580000E+01
-3.466000E-06,-2.620000E+01
-3.465000E-06,-2.620000E+01
-3.464000E-06,-2.580000E+01
-3.463000E-06,-2.660000E+01
-3.462000E-06,-2.660000E+01
-3.461000E-06,-2.660000E+01
-3.460000E-06,-2.740000E+01
-3.459000E-06,-2.740000E+01
-3.458000E-06,-2.820000E+01
-3.457000E-06,-2.860000E+01
-3.456000E-06,-2.860000E+01
-3.455000E-06,-2.820000E+01
-3.454000E-06,-2.860000E+01
-3.453000E-06,-2.860000E+01
-3.452000E-06,-2.860000E+01
-3.451000E-06,-2.860000E+01
-3.450000E-06,-2.860000E+01
-3.449000E-06,-2.860000E+01
-3.448000E-06,-2.780000E+01
-3.447000E-06,-2.740000E+01
-3.446000E-06,-2.660000E+01
-3.445000E-06,-2.580000E+01
-3.444000E-06,-2.500000E+01
-3.443000E-06,-2.380000E+01
-3.442000E-06,-2.220000E+01
-3.441000E-06,-2.100000E+01
-3.440000E-06,-1.900000E+01
-3.439000E-06,-1.740000E+01
-3.438000E-06,-1.620000E+01
-3.437000E-06,-1.420000E+01
-3.436000E-06,-1.260000E+01
-3.435000E-06,-1.140000E+01
-3.434000E-06,-1.020000E+01
-3.433000E-06,-8.599999E+00
-3.432000E-06,-7.000000E+00
-3.431000E-06,-5.400000E+00
-3.430000E-06,-3.800000E+00
-3.429000E-06,-1.400000E+00
-3.428000E-06,+1.400000E+00
-3.427000E-06,+4.600000E+00
-3.426000E-06,+8.200000E+00
-3.425000E-06,+1.220000E+01
-3.424000E-06,+1.620000E+01
-3.423000E-06,+1.940000E+01
-3.422000E-06,+2.340000E+01
-3.421000E-06,+2.620000E+01
-3.420000E-06,+2.820000E+01
-3.419000E-06,+2.980000E+01
-3.418000E-06,+3.060000E+01
-3.417000E-06,+3.020000E+01
-3.416000E-06,+3.020000E+01
-3.415000E-06,+2.940000E+01
-3.414000E-06,+2.820000E+01
-3.413000E-06,+2.700000E+01
-3.412000E-06,+2.500000E+01
-3.411000E-06,+2.380000E+01
-3.410000E-06,+2.300000E+01
-3.409000E-06,+2.300000E+01
-3.408000E-06,+2.260000E+01
-3.407000E-06,+2.260000E+01
-3.406000E-06,+2.300000E+01
-3.405000E-06,+2.420000E+01
-3.404000E-06,+2.460000E+01
-3.403000E-06,+2.540000E+01
-3.402000E-06,+2.660000E+01
-3.401000E-06,+2.620000E+01
-3.400000E-06,+2.660000E+01
-3.399000E-06,+2.660000E+01
-3.398000E-06,+2.620000E+01
-3.397000E-06,+2.580000E+01
-3.396000E-06,+2.620000E+01
-3.395000E-06,+2.580000E+01
-3.394000E-06,+2.540000E+01
-3.393000E-06,+2.540000E+01
-3.392000E-06,+2.620000E+01
-3.391000E-06,+2.620000E+01
-3.390000E-06,+2.660000E+01
-3.389000E-06,+2.660000E+01
-3.388000E-06,+2.740000E+01
-3.387000E-06,+2.780000E+01
-3.386000E-06,+2.780000E+01
-3.385000E-06,+2.780000E+01
-3.384000E-06,+2.780000E+01
-3.383000E-06,+2.780000E+01
-3.382000E-06,+2.820000E+01
-3.381000E-06,+2.780000E+01
-3.380000E-06,+2.780000E+01
-3.379000E-06,+2.780000E+01
-3.378000E-06,+2.780000E+01
-3.377000E-06,+2.780000E+01
-3.376000E-06,+2.660000E+01
-3.375000E-06,+2.620000E+01
-3.374000E-06,+2.540000E+01
-3.373000E-06,+2.460000E+01
-3.372000E-06,+2.340000E+01
-3.371000E-06,+2.260000E+01
-3.370000E-06,+2.100000E+01
-3.369000E-06,+1.940000E+01
-3.368000E-06,+1.740000E+01
-3.367000E-06,+1.660000E+01
-3.366000E-06,+1.460000E+01
-3.365000E-06,+1.380000E+01
-3.364000E-06,+1.220000E+01
-3.363000E-06,+1.060000E+01
-3.362000E-06,+9.400000E+00
-3.361000E-06,+8.200000E+00
-3.360000E-06,+6.600000E+00
-3.359000E-06,+4.600000E+00
-3.358000E-06,+2.600000E+00
-3.357000E-06,+2.000000E-01
-3.356000E-06,-3.000000E+00
-3.355000E-06,-6.599999E+00
-3.354000E-06,-1.060000E+01
-3.353000E-06,-1.460000E+01
-3.352000E-06,-1.860000E+01
-3.351000E-06,-2.260000E+01
-3.350000E-06,-2.580000E+01
-3.349000E-06,-2.780000E+01
-3.348000E-06,-3.020000E+01
-3.347000E-06,-3.100000E+01
-3.346000E-06,-3.140000E+01
-3.345000E-06,-3.100000E+01
-3.344000E-06,-3.020000E+01
-3.343000E-06,-2.900000E+01
-3.342000E-06,-2.780000E+01
-3.341000E-06,-2.660000E+01
-3.340000E-06,-2.540000E+01
-3.339000E-06,-2.460000E+01
-3.338000E-06,-2.380000E+01
-3.337000E-06,-2.300000E+01
-3.336000E-06,-2.300000E+01
-3.335000E-06,-2.380000E+01
-3.334000E-06,-2.420000E+01
-3.333000E-06,-2.500000E+01
-3.332000E-06,-2.540000E+01
-3.331000E-06,-2.580000E+01
-3.330000E-06,-2.660000E+01
-3.329000E-06,-2.660000E+01
-3.328000E-06,-2.660000E+01
-3.327000E-06,-2.700000E+01
-3.326000E-06,-2.620000E+01
-3.325000E-06,-2.620000E+01
-3.324000E-06,-2.660000E+01
-3.323000E-06,-2.620000E+01
-3.322000E-06,-2.580000E+01
